mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
10	10	29	29	1.0	1/2	1/2	3/4	3	1	i/v	c	i		i/v	i				v			m	1	1	1, -2, 2		1	1
11	11	30	30	2.0	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2	2
11	11	32	32	1.0	1/2	1/2	3/4	3	1	i/v	c	i		i/v	i				v			m	1	1	1, -2, 2		1	1
12	12	33	33	2.0	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2	2
12	12	35	35	1.0	1/2	1/2	3/4	3	1	i/v	c	i		i/v	i				v			m	1	1	1, -2, 2		1	1
13	13	36	36	2.0	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2	2
13	13	38	38	1.0	1/2	1/2	3/4	3	1	i/v|PAC}	c	i		i/v	i				v	PAC	}	m	1	1	1, -2, 2		1	1
14	14	39	39	2.0	0	0	3/4	3	1	iii/III{	c	i		iii/III	iii				III		{	m	1	1	1, -2, 2		1	1
14	14	41	41	1.0	1/2	1/2	3/4	3	1	vi/III	c	i		vi/III	vi				III			m	1	1	0, -3, 1		0	0
15	15	42	42	3.0	0	0	3/4	3	1	IV/III	c	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
16	16	45	45	2.0	0	0	3/4	3	1	ii/III	c	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
16	16	47	47	1.0	1/2	1/2	3/4	3	1	V/III	c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
17	17	48	48	3.0	0	0	3/4	3	1	iii/III	c	i		iii/III	iii				III			m	1	1	1, -2, 2		1	1
18	18	51	51	2.0	0	0	3/4	3	1	vi/III	c	i		vi/III	vi				III			m	1	1	0, -3, 1		0	0
18	18	53	53	1.0	1/2	1/2	3/4	3	1	viio/III	c	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
19	19	54	54	1.5	0	0	3/4	3	1	I/III	c	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
19	19	111/2	111/2	0.5	3/8	3/8	3/4	3	1	ii/III	c	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
19	19	56	56	1.0	1/2	1/2	3/4	3	1	I6/III	c	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
20	20	57	57	1.0	0	0	3/4	3	1	ii65/III	c	i		ii65/III	ii		65		III			mm7	1	1	-4, 0, -3, -1		-1	-4
20	20	58	58	1.0	1/4	1/4	3/4	3	1	V(4)/III	c	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
20	20	59	59	1.0	1/2	1/2	3/4	3	1	V/III	c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
21	21	60	60	6.0	0	0	3/4	3	1	I/III|PAC}	c	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3
22	22	63	63	0.0	0	0	3/4	3	1	{	c	i									{		1	1				
23	23	66	66	3.0	0	0	3/4	3	1	V6/III	c	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
24	24	69	69	3.0	0	0	3/4	3	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
25	25	72	72	3.0	0	0	3/4	3	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
26	26	75	75	2.0	0	0	3/4	3	1	V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5
26	26	77	77	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
27	27	78	78	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
27	27	80	80	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
28	28	81	81	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
28	28	83	83	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
29	29	84	84	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
29	29	86	86	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
30	30	87	87	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
30	30	89	89	1.0	1/2	1/2	3/4	3	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
31	31	90	90	2.0	0	0	3/4	3	1	V{	c	i		V	V						{	M	1	1	1, 5, 2		1	1
31	31	92	92	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
32	32	93	93	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
32	32	95	95	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
33	33	96	96	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
33	33	98	98	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
34	34	99	99	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
34	34	101	101	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
35	35	102	102	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
35	35	104	104	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
36	36	105	105	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
36	36	107	107	1.0	1/2	1/2	3/4	3	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
37	37	108	108	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
37	37	110	110	1.0	1/2	1/2	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
38	38	111	111	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
38	38	113	113	1.0	1/2	1/2	3/4	3	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
39	39	114	114	2.0	0	0	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
39	39	116	116	1.0	1/2	1/2	3/4	3	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
